Station ID,year,n_rain,R5mm,R10mm,R20mm,SDII,PRCPTOT,CDD,CWD,Rx1day,Rx5day,R95pTOT,R99pTOT,n_maxdy,n_mindy,FD,TR,SU,ID,TNn,TNx,TXn,TXx,DTR,TN10p,TN90p,TX10p,TX90p,WSDI,CSDI,GSL,Latitude,Longitude,Direction
BALLYHAISE,2016,366,67.0,17.0,2.0,5.334,853.5,24.0,71.0,,,23.0,10.0,366.0,366.0,38.0,0.0,2.0,0.0,-4.253,17.91,1.152,25.54,6.834,,,,,,,321.0,54.1,-7.3,north-east
BALLYHAISE,2017,365,65.0,19.0,2.0,5.431,906.9,23.8,45.8,,,17.0,12.0,365.0,365.0,29.0,0.0,1.0,0.0,-4.577,15.4,1.654,25.13,6.679,,,,,,,336.0,54.1,-7.3,north-east
BALLYHAISE,2018,365,62.0,21.0,3.0,5.619,899.0,25.3,51.4,,,24.0,13.0,365.0,365.0,46.0,0.0,6.0,1.0,-5.521,16.67,-1.073,28.76,7.207,,,,,,,279.0,54.1,-7.3,north-east
BALLYHAISE,2019,365,72.0,27.0,7.0,6.356,1080.6,42.4,79.9,,,14.0,18.0,365.0,365.0,31.0,0.0,0.0,0.0,-4.117,17.06,2.909,24.14,6.723,,,,,,,313.0,54.1,-7.3,north-east
BALLYHAISE,2020,366,89.0,28.0,5.0,6.449,1122.1,32.1,64.4,,,16.0,25.0,366.0,366.0,26.0,0.0,0.0,1.0,-3.904,15.52,-0.353,24.48,6.98,,,,,,,336.0,54.1,-7.3,north-east
BALLYHAISE,2021,365,61.0,27.0,4.0,5.765,899.3,25.6,92.7,,,14.0,11.0,365.0,365.0,40.0,0.0,10.0,0.0,-7.449,16.19,1.606,28.9,7.016,,,,,,,315.0,54.1,-7.3,north-east
BALLYHAISE,2022,365,71.0,28.0,5.0,6.183,1014.0,39.2,67.2,,,22.0,11.0,365.0,365.0,39.0,0.0,6.0,3.0,-7.036,16.95,-3.054,30.77,7.172,,,,,,,329.0,54.1,-7.3,north-east
BALLYHAISE,2023,365,85.0,32.0,8.0,6.53,1221.2,36.0,61.2,,,22.0,14.0,365.0,365.0,34.0,0.0,5.0,0.0,-6.13,17.14,1.575,26.75,6.862,,,,,,,304.0,54.1,-7.3,north-east
BELMULLET,1957,365,81.0,26.0,6.0,5.688,1086.5,34.6,56.5,206.5,60.8,16.0,20.0,365.0,365.0,9.0,0.0,4.0,0.0,-2.2,15.6,3.9,28.3,5.574,5.753,17.534,5.753,16.986,31.0,0.0,359.0,54.2,-10.0,north-west
BELMULLET,1958,365,87.0,36.0,3.0,6.116,1198.8,25.6,56.2,237.0,0.0,12.0,10.0,365.0,365.0,19.0,0.0,0.0,0.0,-4.8,15.4,1.7,21.7,5.354,9.863,12.877,7.671,9.589,8.0,0.0,357.0,54.2,-10.0,north-west
