Region,Year,Avg Max Precipitation
south-central,2013,786.5
south-central,2014,971.6
south-central,2015,1036.1
south-central,2016,806.1
south-central,2017,939.8
south-central,2018,807.5
south-central,2019,957.9
south-central,2021,748.4
south-central,2022,914.1
south-central,2023,1038.7
south-east,1941,958.3
south-east,1942,1007.8
south-east,1943,1035.2
south-east,1944,1003.8
south-east,1945,923.1
south-east,1946,1155.3
south-east,1947,1275.4
south-east,1948,1212.0
south-east,1949,708.3
south-east,1950,1002.0
south-east,1951,1111.1
south-east,1952,858.0
south-east,1953,816.0
south-east,1954,1056.7
south-east,1955,824.8
south-east,1956,856.6
south-east,1957,960.7666666666665
south-east,1958,1096.925
south-east,1959,811.65
south-east,1960,1129.825
south-east,1961,860.625
south-east,1962,779.8666666666667
south-east,1963,858.625
south-east,1964,799.825
south-east,1965,945.725
south-east,1966,1050.7
south-east,1967,851.7
south-east,1968,866.32
south-east,1969,680.22
south-east,1970,790.52
south-east,1971,649.9200000000001
south-east,1972,864.86
south-east,1973,771.0600000000001
south-east,1974,883.78
south-east,1975,645.24
south-east,1976,729.8399999999999
south-east,1977,946.6200000000001
south-east,1978,757.6600000000001
south-east,1979,868.9200000000001
south-east,1980,935.4200000000001
south-east,1981,869.3
south-east,1982,945.22
south-east,1983,869.1200000000001
south-east,1984,787.42
south-east,1985,839.4799999999999
south-east,1986,882.5200000000001
south-east,1987,777.8199999999999
south-east,1988,851.3799999999999
south-east,1989,767.58
south-east,1990,822.0799999999999
south-east,1991,788.7
south-east,1992,739.62
south-east,1993,939.6
south-east,1994,989.04
south-east,1995,802.48
south-east,1996,926.9200000000001
south-east,1997,984.2
south-east,1998,999.15
south-east,1999,799.3
south-east,2000,968.25
south-east,2001,795.65
south-east,2002,1162.4
south-east,2003,776.125
south-east,2004,815.725
south-east,2005,822.825
south-east,2006,931.325
south-east,2007,835.775
south-east,2008,987.7
south-east,2009,1238.15
south-east,2010,840.5
south-east,2011,710.7
south-east,2012,796.2
south-east,2013,793.35
south-east,2014,1091.05
south-east,2015,965.3
south-east,2016,841.95
south-east,2017,820.05
south-east,2018,951.8499999999999
south-east,2019,1020.0
south-east,2020,993.4499999999999
south-east,2021,892.8
south-east,2022,893.7
south-east,2023,1081.4
south-west,1941,980.6666666666666
south-west,1942,930.7000000000002
south-west,1943,1058.0666666666666
south-west,1944,1070.8
south-west,1945,1073.1333333333334
south-west,1946,1199.0666666666666
south-west,1947,1241.0333333333333
south-west,1948,1231.8999999999999
south-west,1949,975.4666666666667
south-west,1950,1181.7666666666667
south-west,1951,1229.0333333333333
south-west,1952,835.9333333333334
south-west,1953,928.1
south-west,1954,1166.3666666666666
south-west,1955,893.7333333333332
south-west,1956,1033.2333333333333
south-west,1957,1051.5666666666666
south-west,1958,1225.1333333333334
south-west,1959,1078.3999999999999
south-west,1960,1176.85
south-west,1961,1016.0999999999999
south-west,1962,937.9200000000001
south-west,1963,1056.0
south-west,1964,1107.5
south-west,1965,1121.2
south-west,1966,1213.3
south-west,1967,971.6200000000001
south-west,1968,1103.52
south-west,1969,883.22
south-west,1970,971.32
south-west,1971,819.0600000000001
south-west,1972,1062.6
south-west,1973,989.3799999999999
south-west,1974,1139.74
south-west,1975,865.5
south-west,1976,1023.82
south-west,1977,1159.8799999999999
south-west,1978,1107.4599999999998
south-west,1979,1142.18
south-west,1980,1080.075
south-west,1981,1070.94
south-west,1982,1220.575
south-west,1983,1081.56
south-west,1984,1039.1399999999999
south-west,1985,1126.22
south-west,1986,1159.1
south-west,1987,1018.1599999999999
south-west,1988,1213.1
south-west,1989,1014.3399999999999
south-west,1990,999.3799999999999
south-west,1991,988.8399999999999
south-west,1992,1022.05
south-west,1993,1181.05
south-west,1994,1221.5666666666666
south-west,1995,1197.125
south-west,1996,1173.3799999999999
south-west,1997,1106.92
south-west,1998,1141.375
south-west,1999,988.4499999999999
south-west,2000,1000.8
south-west,2001,955.65
south-west,2002,1240.1333333333332
south-west,2003,997.7
south-west,2004,1077.725
south-west,2005,1129.375
south-west,2006,1058.0333333333333
south-west,2007,1031.525
south-west,2008,1178.98
south-west,2009,1279.3
south-west,2010,944.125
south-west,2011,900.9666666666667
south-west,2012,1141.675
south-west,2013,1122.48
south-west,2014,1162.225
south-west,2015,1255.075
south-west,2016,1105.4
south-west,2017,1132.98
south-west,2018,1080.875
south-west,2019,1107.65
south-west,2020,1183.275
south-west,2021,1128.1
south-west,2022,1137.02
south-west,2023,1264.325
