Region,Year,Avg Precipitation,Avg Max Temp
north-east,1827,589.9,32.6339666401162
north-east,1828,768.1500000000001,32.183966640116196
north-east,1829,534.75,32.9089666401162
north-east,1830,631.85,33.1339666401162
north-east,1831,615.2,30.058966640116196
north-east,1832,371.55,33.183966640116196
north-east,1833,579.6500000000001,32.4589666401162
north-east,1834,594.05,32.3839666401162
north-east,1835,423.55,32.0839666401162
north-east,1836,500.5,31.533966640116198
north-east,1837,632.45,31.533966640116198
north-east,1838,510.3,32.7089666401162
north-east,1839,669.25,31.5589666401162
north-east,1840,510.9555555555556,30.937740711240217
north-east,1841,616.1111111111111,32.182185155684664
north-east,1842,386.8888888888889,33.15996293346244
north-east,1843,568.8,32.22075996813943
north-east,1844,531.1777777777778,31.02662960012911
north-east,1845,666.0666666666667,33.463948106847425
north-east,1846,599.2666666666667,32.40440737790689
north-east,1847,514.6666666666666,32.67107404457355
north-east,1848,558.688888888889,32.38218515568466
north-east,1849,605.0,32.280759968139435
north-east,1850,645.7333333333333,31.111955520154932
north-east,1851,617.1999999999999,31.41995234302314
north-east,1852,538.74,31.954346624185916
north-east,1853,504.92941176470583,32.183470541381524
north-east,1854,615.4555555555556,32.03816291576213
north-east,1855,578.2434782608696,31.935939081951318
north-east,1856,555.0,31.990034872591217
north-east,1857,439.68571428571425,32.088326941140515
north-east,1858,536.357894736842,31.84836837913084
north-east,1859,555.6823529411765,32.19523524726388
north-east,1860,631.8399999999999,31.791139952209157
north-east,1861,549.5272727272727,32.10103632019014
north-east,1862,575.8692307692307,31.803635852504335
north-east,1863,562.3090909090909,32.24357570930218
north-east,1864,544.3416666666667,31.581611066860333
north-east,1865,482.2375,32.32819162020335
north-east,1866,595.83125,31.711445790188822
north-east,1867,650.7939393939395,31.743460562614384
north-east,1868,553.7351351351351,32.393021574261326
north-east,1869,589.5230769230769,32.34712816428133
north-east,1870,619.1724137931035,32.104496507778535
north-east,1871,596.1481481481482,31.825723413522695
north-east,1872,595.6967741935483,32.21942360795184
north-east,1873,542.02,31.997806618875824
north-east,1874,464.5833333333333,32.008498102422344
north-east,1875,630.4263157894737,32.12215258546498
north-east,1876,597.8095238095239,32.05508408020473
north-east,1877,678.3243243243244,32.340700856410926
north-east,1878,588.339534883721,31.65147747368834
north-east,1879,667.2046511627907,32.154548792752706
north-east,1880,690.824,32.21370528979057
north-east,1881,617.1264705882353,32.6275323084301
north-east,1882,671.7304347826088,32.17304536599245
north-east,1883,574.8379746835443,32.3955889845009
north-east,1884,640.8096385542168,32.3399935307928
north-east,1885,608.4263736263737,32.043901055136594
north-east,1886,605.3056074766355,32.08704668430762
north-east,1887,539.8481481481482,32.225304644943876
north-east,1888,649.9059602649007,31.928896643377346
north-east,1889,663.0739130434782,32.07087365982941
north-east,1890,617.4920245398773,31.78735537491783
north-east,1891,690.7507352941177,31.84267568785468
north-east,1892,489.1546762589928,32.43386829776211
north-east,1893,599.4715277777777,32.18331499854233
north-east,1894,643.7455445544555,32.23910754238991
north-east,1895,628.6406360424028,32.260025158652994
north-east,1896,650.2455696202531,32.00609214653724
north-east,1897,649.7068965517242,31.974172366351826
north-east,1898,654.6014749262537,32.10753839832255
north-east,1899,643.7778481012658,31.945243200717396
north-east,1900,647.6756906077349,32.175807871588574
north-east,1901,615.5795031055901,32.10372307035952
north-east,1902,623.0016032064128,32.01413448646814
north-east,1903,616.1638429752065,32.08166634269157
north-east,1904,505.91883495145635,32.37184538801972
north-east,1905,718.679764243615,32.2741305334969
north-east,1906,667.4155339805825,32.171339885886056
north-east,1907,622.54010989011,32.05855391933497
north-east,1908,541.781328545781,32.190516527898474
north-east,1909,637.6451905626134,32.021796926239674
north-east,1910,623.5702166064982,32.02938960194763
north-east,1911,434.91927710843373,32.32693305467303
north-east,1912,651.8403812824957,32.08037499418388
north-east,1913,572.2807692307692,32.018902514343644
north-east,1914,646.7375954198474,32.17108328418457
north-east,1915,642.7379182156134,32.28185571233667
north-east,1916,664.3790322580645,31.975442721938663
north-east,1917,551.2725631768953,32.26292630375688
north-east,1918,640.1012173913043,32.148208413714706
north-east,1919,580.6993019197208,32.16884485997387
north-east,1920,571.9170068027211,32.09371253491323
north-east,1921,568.6788659793814,32.295291244479586
north-east,1922,675.6932110091743,32.32260826767
north-east,1923,620.2173835125448,32.28949911305311
north-east,1924,606.6241086587436,32.11365473163013
north-east,1925,608.8557983193277,32.24770773642353
north-east,1926,773.9381666666667,32.1147159490231
north-east,1927,719.6741085271318,32.10683881250029
north-east,1928,622.0768888888889,32.21626266570183
north-east,1929,484.4624251497006,32.18891911159642
north-east,1930,658.4796923076923,32.202429180527574
north-east,1931,682.6896408839779,32.11841753723645
north-east,1932,614.1194029850747,32.25402120727478
north-east,1933,551.3420689655172,32.14520022554436
north-east,1934,515.6278772378516,32.08631572154865
north-east,1935,651.6641407307171,32.22289232693127
north-east,1936,615.2472684085511,32.093440093894515
north-east,1937,698.2415263748596,32.23180399159409
north-east,1938,589.8389596602973,32.10661382237925
north-east,1939,737.7350561797753,32.10551583104636
north-east,1940,648.5062153163152,31.962152965544593
north-east,1941,733.7489200863931,32.1400281719673
north-east,1942,560.2050156739812,32.160401343415565
north-east,1943,487.4072727272727,32.424986403637455
north-east,1944,638.1255555555556,32.26229328377246
north-east,1945,648.6464435146444,32.15769367319241
north-east,1946,667.6623853211009,32.26925169372078
north-east,1947,571.4646017699115,32.49551197383321
north-east,1948,614.4402559055119,32.18947790697202
north-east,1949,593.6571976967371,32.25115190576583
north-east,1950,692.629268292683,32.0564094024686
