year,annual,Station
1996,-99.9,LOCID000042
1997,-99.9,LOCID000042
1998,-99.9,LOCID000042
1999,-99.9,LOCID000042
2000,-99.9,LOCID000042
2001,-99.9,LOCID000042
2002,-99.9,LOCID000042
2003,-99.9,LOCID000042
2004,-99.9,LOCID000042
1870,35,LOCID000040
1871,31,LOCID000040
1872,34.1,LOCID000040
1873,31.8,LOCID000040
1874,33.3,LOCID000040
1875,35,LOCID000040
1876,33.1,LOCID000040
1877,33.6,LOCID000040
1878,29.8,LOCID000040
1879,31.8,LOCID000040
1880,32,LOCID000040
1881,36.2,LOCID000040
1882,30.2,LOCID000040
1883,32,LOCID000040
1884,34.1,LOCID000040
1885,31,LOCID000040
1886,31.7,LOCID000040
1887,32.8,LOCID000040
1888,30.6,LOCID000040
1889,32.8,LOCID000040
1890,31.4,LOCID000040
1891,32.2,LOCID000040
1892,36.8,LOCID000040
1893,32.2,LOCID000040
1894,35.8,LOCID000040
1895,33.5,LOCID000040
1896,31.5,LOCID000040
1897,32.4,LOCID000040
1898,31.8,LOCID000040
1899,33.9,LOCID000040
1900,35,LOCID000040
1901,31.7,LOCID000040
1902,33.1,LOCID000040
1903,33,LOCID000040
1904,35.6,LOCID000040
1905,34.2,LOCID000040
1906,32,LOCID000040
1907,33.6,LOCID000040
1908,33.1,LOCID000040
1909,32.4,LOCID000040
1910,30.1,LOCID000040
1911,37.5,LOCID000040
1912,31.8,LOCID000040
1913,30.2,LOCID000040
1914,31.9,LOCID000040
1915,33.1,LOCID000040
1916,30,LOCID000040
1917,32.2,LOCID000040
1918,34.5,LOCID000040
1919,31.5,LOCID000040
1920,30.5,LOCID000040
1921,36,LOCID000040
1922,34.4,LOCID000040
1923,35.3,LOCID000040
1924,33,LOCID000040
1925,33.2,LOCID000040
1926,32.3,LOCID000040
1927,31.7,LOCID000040
1928,36.4,LOCID000040
1929,35.7,LOCID000040
1930,32.9,LOCID000040
1931,32.8,LOCID000040
1932,34.1,LOCID000040
1933,34.2,LOCID000040
1934,33.4,LOCID000040
1935,32.3,LOCID000040
1936,32.1,LOCID000040
1937,34.8,LOCID000040
1938,34.5,LOCID000040
1939,33,LOCID000040
1940,29.9,LOCID000040
1941,34.6,LOCID000040
1942,33.6,LOCID000040
1943,35.3,LOCID000040
1944,37.5,LOCID000040
1945,-99.9,LOCID000040
1946,34.7,LOCID000040
1947,38.2,LOCID000040
1948,34.3,LOCID000040
1949,35.4,LOCID000040
1950,33.3,LOCID000040
1951,33.7,LOCID000040
1952,38.1,LOCID000040
1953,33.3,LOCID000040
1954,33,LOCID000040
1955,32.5,LOCID000040
1956,30.8,LOCID000040
1957,37.8,LOCID000040
1958,31.8,LOCID000040
1959,36.5,LOCID000040
1960,31.5,LOCID000040
1961,33.5,LOCID000040
1962,32.4,LOCID000040
1963,35.7,LOCID000040
1964,35.2,LOCID000040
1965,30.2,LOCID000040
1966,34.2,LOCID000040
1967,33.2,LOCID000040
1968,30.8,LOCID000040
1969,33,LOCID000040
1970,31.5,LOCID000040
1971,34.3,LOCID000040
1972,32.4,LOCID000040
1973,32,LOCID000040
1974,34.4,LOCID000040
1975,32,LOCID000040
1976,35.1,LOCID000040
1977,31.6,LOCID000040
