year,cdd,Station,csdi,cwd,DTR,FD,gsl,ID,prcptot,R10mm,R20mm,r95p,r99p,Rnnmm,RX1day,RX5day,sdii,SU,TN10p,TN50p,TN90p,TNn,TNx,TR,TX10p,TX50p,TX90p,TXn,TXx,wsdi,Station_name
1925,14.0,61700004063,6.0,11.0,9.01,105.0,224.0,18.0,594.9,16.0,2.0,93.5,0.0,0.0,21.0,45.4,4.9,28.0,13.7,46.85,8.77,-21.7,19.1,0.0,13.7,47.95,9.32,-12.1,33.1,9.0,
1926,16.0,61700004063,0.0,8.0,8.89,85.0,206.0,15.0,638.1,17.0,3.0,132.6,38.0,1.0,38.0,80.9,5.3,30.0,6.58,52.05,10.96,-12.7,17.1,0.0,6.58,54.52,9.32,-6.0,30.2,6.0,
1927,18.0,61700004063,0.0,5.0,8.27,107.0,258.0,18.0,718.2,14.0,5.0,266.2,149.4,3.0,55.7,68.5,6.1,23.0,11.78,49.04,7.4,-16.2,17.2,0.0,11.78,44.93,7.67,-8.0,31.0,0.0,
1928,26.0,61700004063,0.0,11.0,9.14,98.0,250.0,15.0,588.6,14.0,1.0,27.0,27.0,1.0,27.0,35.5,4.6,30.0,11.78,47.95,12.05,-13.0,18.7,0.0,11.78,57.26,10.41,-6.5,34.3,0.0,
1929,19.0,61700004063,17.0,7.0,9.89,112.0,240.0,53.0,409.7,9.0,0.0,17.9,0.0,0.0,17.9,33.3,4.5,55.0,15.07,47.12,10.68,-25.1,18.6,0.0,15.07,49.59,12.05,-16.4,34.4,14.0,
1930,22.0,61700004063,0.0,8.0,8.93,98.0,235.0,8.0,662.9,17.0,3.0,135.0,33.4,1.0,33.4,66.4,5.3,37.0,5.21,54.79,11.51,-9.4,18.2,0.0,5.21,54.25,12.33,-3.2,33.5,6.0,
1931,13.0,61700004063,13.0,9.0,8.95,126.0,201.0,29.0,596.3,14.0,2.0,48.2,27.3,1.0,27.3,43.9,4.8,35.0,12.88,45.21,7.67,-14.5,18.5,0.0,12.88,44.38,5.75,-5.3,31.0,7.0,
1932,24.0,61700004063,6.0,6.0,9.14,117.0,228.0,16.0,529.2,15.0,1.0,102.7,34.9,1.0,34.9,53.4,5.5,43.0,7.67,50.68,11.51,-17.5,18.0,0.0,7.67,48.22,10.41,-8.1,33.2,8.0,
1933,30.0,61700004063,6.0,7.0,9.38,122.0,271.0,40.0,585.4,17.0,3.0,193.2,68.4,2.0,38.8,85.9,5.7,25.0,7.95,41.92,9.04,-15.9,16.8,0.0,7.95,46.03,8.77,-9.0,32.3,6.0,
1934,22.0,61700004063,0.0,5.0,9.68,73.0,246.0,8.0,481.1,9.0,4.0,156.8,34.4,2.0,34.4,55.2,5.4,63.0,2.47,64.11,15.07,-11.8,17.5,0.0,2.47,70.41,14.52,-3.6,32.9,0.0,
1935,14.0,61700004063,0.0,7.0,8.84,97.0,276.0,27.0,701.8,22.0,6.0,243.2,90.2,3.0,35.2,97.2,6.1,51.0,7.67,55.07,9.59,-12.3,19.8,0.0,7.67,53.42,8.49,-5.5,33.4,6.0,
1936,13.0,61700004063,0.0,7.0,8.11,98.0,201.0,12.0,799.2,22.0,4.0,251.1,43.5,1.0,43.5,77.0,5.7,22.0,10.96,57.26,12.6,-16.2,18.0,0.0,10.96,50.68,8.22,-2.6,31.3,0.0,
1937,19.0,61700004063,0.0,8.0,8.45,92.0,238.0,18.0,650.7,13.0,3.0,89.0,66.6,2.0,34.3,46.8,5.6,45.0,4.38,60.82,9.04,-8.6,17.5,0.0,4.38,53.7,7.12,-3.8,34.3,6.0,
1938,16.0,61700004063,0.0,11.0,8.92,89.0,277.0,20.0,578.7,14.0,1.0,93.1,0.0,1.0,26.1,40.5,5.2,41.0,10.96,55.62,10.41,-19.0,18.6,0.0,10.96,55.07,12.05,-10.2,32.5,0.0,
1939,15.0,61700004063,0.0,6.0,8.05,84.0,284.0,19.0,720.8,23.0,2.0,122.1,0.0,0.0,20.6,40.7,5.4,36.0,12.88,55.07,13.97,-22.7,17.2,0.0,12.88,43.84,9.59,-11.7,30.0,9.0,
1940,17.0,61700004063,6.0,10.0,8.56,108.0,220.0,59.0,734.6,18.0,6.0,208.3,88.4,3.0,31.7,75.9,5.9,23.0,21.64,47.12,7.67,-26.6,16.3,0.0,21.64,37.81,4.11,-14.8,28.3,0.0,
1941,15.0,61700004063,0.0,9.0,8.03,115.0,193.0,36.0,825.4,20.0,5.0,269.4,90.7,4.0,34.6,49.8,6.1,22.0,20.82,44.11,9.32,-19.2,18.4,0.0,20.82,36.71,4.93,-9.8,31.2,0.0,
1942,18.0,61700004063,11.0,5.0,8.8,122.0,238.0,46.0,543.2,12.0,3.0,89.4,0.0,2.0,26.6,55.4,5.2,36.0,15.62,44.38,9.32,-25.5,17.0,0.0,15.62,43.01,6.85,-13.3,31.5,6.0,
1943,41.0,61700004063,0.0,6.0,9.6,94.0,240.0,18.0,482.3,8.0,2.0,99.1,26.9,1.0,26.9,44.2,5.1,32.0,3.29,50.68,9.04,-16.6,20.0,0.0,3.29,56.71,14.52,-6.0,35.0,18.0,
1944,29.0,61700004063,0.0,7.0,8.03,92.0,218.0,18.0,680.4,18.0,4.0,161.9,28.4,1.0,28.4,51.3,5.4,35.0,12.6,55.62,9.86,-13.0,19.5,0.0,12.6,43.29,9.04,-4.7,33.0,10.0,
1945,19.0,61700004063,0.0,5.0,8.68,78.0,243.0,27.0,668.7,17.0,6.0,233.4,140.1,4.0,52.3,77.6,6.4,37.0,8.22,60.27,12.33,-15.3,19.0,0.0,8.22,52.88,11.51,-7.9,31.5,0.0,
1946,15.0,61700004063,7.0,7.0,9.01,98.0,231.0,26.0,676.5,22.0,3.0,177.6,70.0,2.0,38.6,56.8,6.3,29.0,10.14,52.05,9.86,-14.5,18.5,0.0,10.14,49.86,10.41,-8.8,31.8,6.0,
1947,24.0,61700004063,0.0,11.0,9.91,102.0,243.0,43.0,526.3,10.0,2.0,114.5,54.1,1.0,54.1,91.7,5.7,72.0,10.14,57.53,16.16,-18.3,19.4,0.0,10.14,59.45,18.9,-11.0,37.5,36.0,
1948,35.0,61700004063,0.0,9.0,8.98,79.0,299.0,19.0,625.1,17.0,3.0,182.0,70.3,2.0,38.4,84.4,6.3,32.0,10.68,56.71,18.36,-14.1,18.4,0.0,10.68,57.53,14.79,-4.7,31.4,15.0,
1949,32.0,61700004063,6.0,6.0,9.57,81.0,218.0,15.0,466.3,10.0,2.0,92.0,0.0,0.0,21.7,42.6,5.2,51.0,7.67,56.99,13.42,-13.0,19.6,0.0,7.67,61.1,16.99,-3.3,34.2,15.0,
1950,17.0,61700004063,0.0,8.0,8.83,95.0,224.0,29.0,740.3,18.0,3.0,135.5,0.0,1.0,25.0,43.5,5.8,38.0,8.22,54.52,14.79,-17.1,19.8,0.0,8.22,49.04,12.05,-10.8,32.7,0.0,
1951,21.0,61700004063,0.0,4.0,8.71,71.0,269.0,10.0,581.3,19.0,3.0,90.4,69.2,2.0,38.9,57.4,5.4,40.0,4.66,59.73,11.78,-11.7,17.6,0.0,4.66,60.55,6.85,-2.9,32.0,0.0,
